Day fraction since midnight on 	Photometer (mg/L)	Photometer (volts)	Source pressure (Pa)
0.584269912	-3.568005323	3.541707993	104142.75
0.584327716	-3.568295717	3.541859388	104142.75
0.584385617	-3.568077564	3.541745663	104142.75
0.584443506	-3.56447649	3.539869547	104142.75
0.584501351	-3.557107449	3.536032438	104142.75
0.584559254	-3.554054022	3.534443378	104142.75
0.584617066	-3.550939322	3.532823086	104142.75
0.584674994	-3.543226481	3.528812885	104142.75
0.584732823	-3.535323858	3.524707556	104142.75
0.584790685	-3.526921511	3.520346403	104142.75
0.58484861	-3.513423443	3.513348579	104142.75
0.58490648	-3.500139952	3.506471872	104142.75
0.584964329	-3.478204966	3.49513793	104142.75
0.585022158	-3.40664649	3.458348513	104142.75
0.585080115	-3.340095997	3.42438674	104142.75
0.585137928	-3.22529912	3.36637187	104142.75
0.585195802	-3.098466635	3.30310154	104142.75
0.585253639	-2.910120726	3.210722208	104142.75
0.585311513	-2.690129995	3.105163097	104142.75
0.585369361	-2.553479195	3.040838957	104142.75
0.585427323	-2.416907311	2.977488995	104142.75
0.585485096	-2.276284218	2.91322422	104142.75
0.585543034	-2.173095226	2.866680861	104142.75
0.585600924	-2.011296034	2.794732809	104142.75
0.585658793	-1.855152726	2.726475954	104142.75
0.585716555	-1.703561902	2.661296129	104142.75
0.585774516	-1.610864162	2.621958733	104142.75
0.58583239	-1.504888058	2.577464104	104142.75
0.585890253	-1.407199025	2.536895275	104142.75
0.585947937	-1.342448473	2.510239124	104142.75
0.586006078	-1.256129623	2.474991083	104142.75
0.586063899	-1.173559427	2.441578388	104142.75
0.586121621	-1.062106848	2.396945953	104142.75
0.586179534	-0.972743094	2.361543417	104142.75
0.5862374	-0.806978881	2.296767473	104142.75
0.586295266	-0.706260145	2.257969379	104142.75
0.586353143	-0.626594305	2.22757721	104142.75
0.586411024	-0.553028464	2.199742317	104142.75
0.586468916	-0.535764575	2.193242073	104142.75
0.586526765	-0.525351167	2.189327002	104142.75
0.586584605	-0.485670239	2.17444849	104142.75
0.586642541	-0.454790384	2.162913799	104142.75
0.586700402	-0.447556645	2.160217285	104142.75
0.586758232	-0.444726229	2.15916276	104142.75
0.586816133	-0.413783163	2.147655249	104142.75
0.586873982	-0.349124521	2.123732328	104142.75
0.586931927	-0.342259824	2.121202231	104142.75
0.586989811	-0.358260274	2.127102375	104142.75
0.587047632	-0.35841468	2.127159357	104142.75
0.587105433	-0.387393385	2.137871265	104142.75
0.587163363	-0.407868892	2.145460129	104142.75
0.587221261	-0.441732317	2.158047676	104142.75
0.587279029	-0.450702816	2.161389828	104142.75
0.587336972	-0.411988795	2.146989107	104142.75
0.587394881	-0.402703762	2.143544197	104142.75
0.587452667	-0.448866308	2.160705328	104142.75
0.587510586	-0.464906871	2.166688442	104142.75
0.587568401	-0.514749467	2.18534565	104142.75
0.587626272	-0.536531448	2.19353056	104142.75
0.587684153	-0.596749246	2.216258287	104142.75
0.587742067	-0.655779004	2.23868084	104142.75
0.587799943	-0.696173608	2.254106998	104142.75
0.587857742	-0.744503319	2.272651672	104142.75
0.587915647	-0.779951632	2.286314964	104142.75
0.587973552	-0.815695882	2.300145149	104142.75
0.588031348	-0.866379857	2.319847107	104142.75
0.58808924	-0.938010395	2.347875118	104142.75
0.588147121	-0.978571415	2.363842011	104142.75
0.588205049	-1.033722997	2.385664463	104142.75
0.588262816	-1.072028995	2.400897741	104142.75
0.588320713	-1.116191149	2.418537855	104142.75
0.588378657	-1.180571437	2.444404364	104142.75
0.588436561	-1.219609261	2.46017623	104142.75
0.588494358	-1.249926329	2.472470522	104142.75
0.588552228	-1.290778279	2.489100456	104142.75
0.588610062	-1.393040419	2.531050682	104142.75
0.588667974	-1.473831654	2.564520598	104142.75
0.588725833	-1.491393924	2.571834803	104142.75
0.588783653	-1.538963437	2.591715574	104142.75
0.588841562	-1.595429421	2.615446806	104142.75
0.588899396	-1.647553444	2.637481451	104142.75
0.588957326	-1.695225716	2.6577425	104142.75
